City,Country,Latitude,Longitude,Date,Wind_Speed,Pressure,Humidity,Temperature,Cloudiness
Malbork,PL,54.0359,19.0266,1650427189.0,9.35,1014.0,95.0,47.12,100.0
Ancud,CL,-41.8697,-73.8203,1650427477.0,3.71,1019.0,84.0,47.23,7.0
Kavieng,PG,-2.5744,150.7967,1650427478.0,13.76,1007.0,65.0,85.5,76.0
Rikitea,PF,-23.1203,-134.9692,1650427479.0,14.43,1019.0,74.0,78.13,15.0
Meulaboh,ID,4.1363,96.1285,1650427481.0,3.38,1011.0,68.0,83.82,96.0
Jamestown,US,42.097,-79.2353,1650427184.0,7.0,1020.0,63.0,36.72,85.0
kamenskoye,,,,,,,,,
Mar del Plata,AR,-38.0023,-57.5575,1650427247.0,3.44,1017.0,96.0,60.87,100.0
Vaini,TO,-21.2,-175.2,1650427486.0,4.61,1013.0,94.0,75.36,75.0
Ürümqi,CN,43.801,87.6005,1650427487.0,4.47,1014.0,31.0,59.95,86.0
Punta Arenas,CL,-53.15,-70.9167,1650427320.0,12.57,997.0,75.0,42.12,76.0
Kita,ML,13.0349,-9.4895,1650427490.0,4.09,1009.0,12.0,80.13,79.0
Bredasdorp,ZA,-34.5322,20.0403,1650427491.0,4.07,1015.0,78.0,59.38,50.0
Atuona,PF,-9.8,-139.0333,1650427492.0,17.38,1015.0,71.0,79.36,20.0
Port Alfred,ZA,-33.5906,26.891,1650427494.0,13.06,1020.0,94.0,63.18,41.0
Ekenäs,FI,59.9736,23.4339,1650427495.0,10.31,1025.0,82.0,38.19,40.0
São Filipe,CV,14.8961,-24.4956,1650427497.0,3.53,1013.0,81.0,70.95,81.0
Carnarvon,AU,-24.8667,113.6333,1650427498.0,12.66,1015.0,29.0,87.87,39.0
Chui,UY,-33.6971,-53.4616,1650427499.0,6.53,1019.0,94.0,61.16,50.0
utiroa,,,,,,,,,
Saint Paul Harbor,US,57.79,-152.4072,1650427502.0,0.0,1005.0,81.0,38.71,75.0
